CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS;ordre_parada;hora_inicial
72201;el vendrell;BARCELONA;15:30 - 16:00;89;68;1;1900-01-01 15:30:00
72201;el vendrell;BARCELONA;16:00 - 16:30;11;73;1;1900-01-01 16:00:00
72201;el vendrell;BARCELONA;16:30 - 17:00;50;14;1;1900-01-01 16:30:00
72201;el vendrell;BARCELONA;17:00 - 17:30;25;60;1;1900-01-01 17:00:00
72201;el vendrell;BARCELONA;17:30 - 18:00;34;18;1;1900-01-01 17:30:00
72201;el vendrell;BARCELONA;18:00 - 18:30;7;92;1;1900-01-01 18:00:00
72201;el vendrell;BARCELONA;18:30 - 19:00;32;16;1;1900-01-01 18:30:00
72201;el vendrell;BARCELONA;19:00 - 19:30;15;71;1;1900-01-01 19:00:00
72201;el vendrell;BARCELONA;19:30 - 20:00;40;27;1;1900-01-01 19:30:00
72201;el vendrell;BARCELONA;20:30 - 21:00;48;104;1;1900-01-01 20:30:00
72201;el vendrell;BARCELONA;21:00 - 21:30;16;41;1;1900-01-01 21:00:00
72201;el vendrell;BARCELONA;21:30 - 22:00;13;38;1;1900-01-01 21:30:00
72201;el vendrell;BARCELONA;22:30 - 23:00;2;25;1;1900-01-01 22:30:00
72201;el vendrell;BARCELONA;23:00 - 23:30;1;12;1;1900-01-01 23:00:00
72201;el vendrell;BARCELONA;23:30 - 00:00;0;5;1;1900-01-01 23:30:00
72202;l'arboc;BARCELONA;00:00 - 00:30;0;0;2;1900-01-01 00:00:00
72202;l'arboc;BARCELONA;05:30 - 06:00;10;0;2;1900-01-01 05:30:00
72202;l'arboc;BARCELONA;06:00 - 06:30;18;2;2;1900-01-01 06:00:00
72202;l'arboc;BARCELONA;06:30 - 07:00;21;15;2;1900-01-01 06:30:00
72202;l'arboc;BARCELONA;07:00 - 07:30;6;0;2;1900-01-01 07:00:00
72202;l'arboc;BARCELONA;07:30 - 08:00;13;15;2;1900-01-01 07:30:00
72202;l'arboc;BARCELONA;08:00 - 08:30;0;6;2;1900-01-01 08:00:00
72202;l'arboc;BARCELONA;08:30 - 09:00;8;0;2;1900-01-01 08:30:00
72202;l'arboc;BARCELONA;09:00 - 09:30;0;0;2;1900-01-01 09:00:00
72202;l'arboc;BARCELONA;09:30 - 10:00;4;0;2;1900-01-01 09:30:00
72202;l'arboc;BARCELONA;10:30 - 11:00;18;30;2;1900-01-01 10:30:00
72202;l'arboc;BARCELONA;11:00 - 11:30;2;9;2;1900-01-01 11:00:00
72202;l'arboc;BARCELONA;11:30 - 12:00;7;0;2;1900-01-01 11:30:00
72202;l'arboc;BARCELONA;12:00 - 12:30;3;7;2;1900-01-01 12:00:00
72202;l'arboc;BARCELONA;12:30 - 13:00;6;0;2;1900-01-01 12:30:00
72202;l'arboc;BARCELONA;13:00 - 13:30;0;0;2;1900-01-01 13:00:00
72202;l'arboc;BARCELONA;13:30 - 14:00;6;0;2;1900-01-01 13:30:00
72202;l'arboc;BARCELONA;14:00 - 14:30;12;9;2;1900-01-01 14:00:00
72202;l'arboc;BARCELONA;14:30 - 15:00;8;0;2;1900-01-01 14:30:00
72202;l'arboc;BARCELONA;15:00 - 15:30;14;43;2;1900-01-01 15:00:00
72202;l'arboc;BARCELONA;15:30 - 16:00;11;10;2;1900-01-01 15:30:00
72202;l'arboc;BARCELONA;16:00 - 16:30;16;19;2;1900-01-01 16:00:00
72202;l'arboc;BARCELONA;16:30 - 17:00;17;9;2;1900-01-01 16:30:00
72202;l'arboc;BARCELONA;17:00 - 17:30;8;16;2;1900-01-01 17:00:00
72202;l'arboc;BARCELONA;17:30 - 18:00;24;13;2;1900-01-01 17:30:00
72202;l'arboc;BARCELONA;18:00 - 18:30;9;39;2;1900-01-01 18:00:00
72202;l'arboc;BARCELONA;18:30 - 19:00;15;18;2;1900-01-01 18:30:00
72202;l'arboc;BARCELONA;19:00 - 19:30;4;32;2;1900-01-01 19:00:00
72202;l'arboc;BARCELONA;19:30 - 20:00;6;11;2;1900-01-01 19:30:00
72202;l'arboc;BARCELONA;20:00 - 20:30;2;44;2;1900-01-01 20:00:00
72202;l'arboc;BARCELONA;20:30 - 21:00;2;37;2;1900-01-01 20:30:00
72202;l'arboc;BARCELONA;21:00 - 21:30;1;24;2;1900-01-01 21:00:00
72202;l'arboc;BARCELONA;21:30 - 22:00;3;18;2;1900-01-01 21:30:00
72202;l'arboc;BARCELONA;22:00 - 22:30;1;18;2;1900-01-01 22:00:00
72202;l'arboc;BARCELONA;23:00 - 23:30;1;7;2;1900-01-01 23:00:00
72202;l'arboc;BARCELONA;23:30 - 00:00;0;3;2;1900-01-01 23:30:00
72203;els monjos;BARCELONA;00:00 - 00:30;0;2;3;1900-01-01 00:00:00
72203;els monjos;BARCELONA;05:30 - 06:00;14;4;3;1900-01-01 05:30:00
72203;els monjos;BARCELONA;06:00 - 06:30;21;5;3;1900-01-01 06:00:00
72203;els monjos;BARCELONA;06:30 - 07:00;17;2;3;1900-01-01 06:30:00
72203;els monjos;BARCELONA;07:00 - 07:30;25;7;3;1900-01-01 07:00:00
72203;els monjos;BARCELONA;07:30 - 08:00;43;14;3;1900-01-01 07:30:00
72203;els monjos;BARCELONA;08:00 - 08:30;6;15;3;1900-01-01 08:00:00
72203;els monjos;BARCELONA;08:30 - 09:00;20;3;3;1900-01-01 08:30:00
72203;els monjos;BARCELONA;09:00 - 09:30;3;7;3;1900-01-01 09:00:00
72203;els monjos;BARCELONA;09:30 - 10:00;21;4;3;1900-01-01 09:30:00
72203;els monjos;BARCELONA;10:30 - 11:00;29;42;3;1900-01-01 10:30:00
72203;els monjos;BARCELONA;11:00 - 11:30;1;3;3;1900-01-01 11:00:00
72203;els monjos;BARCELONA;11:30 - 12:00;11;4;3;1900-01-01 11:30:00
72203;els monjos;BARCELONA;12:00 - 12:30;2;9;3;1900-01-01 12:00:00
72203;els monjos;BARCELONA;12:30 - 13:00;15;3;3;1900-01-01 12:30:00
72203;els monjos;BARCELONA;13:00 - 13:30;0;14;3;1900-01-01 13:00:00
72203;els monjos;BARCELONA;13:30 - 14:00;16;1;3;1900-01-01 13:30:00
72203;els monjos;BARCELONA;14:00 - 14:30;8;17;3;1900-01-01 14:00:00
72203;els monjos;BARCELONA;14:30 - 15:00;24;5;3;1900-01-01 14:30:00
72203;els monjos;BARCELONA;15:00 - 15:30;10;26;3;1900-01-01 15:00:00
72203;els monjos;BARCELONA;15:30 - 16:00;13;5;3;1900-01-01 15:30:00
72203;els monjos;BARCELONA;16:00 - 16:30;6;19;3;1900-01-01 16:00:00
72203;els monjos;BARCELONA;16:30 - 17:00;18;7;3;1900-01-01 16:30:00
72203;els monjos;BARCELONA;17:00 - 17:30;0;9;3;1900-01-01 17:00:00
72203;els monjos;BARCELONA;17:30 - 18:00;17;3;3;1900-01-01 17:30:00
72203;els monjos;BARCELONA;18:00 - 18:30;4;17;3;1900-01-01 18:00:00
72203;els monjos;BARCELONA;18:30 - 19:00;16;4;3;1900-01-01 18:30:00
72203;els monjos;BARCELONA;19:00 - 19:30;5;37;3;1900-01-01 19:00:00
72203;els monjos;BARCELONA;19:30 - 20:00;8;8;3;1900-01-01 19:30:00
72203;els monjos;BARCELONA;20:00 - 20:30;1;29;3;1900-01-01 20:00:00
72203;els monjos;BARCELONA;20:30 - 21:00;4;7;3;1900-01-01 20:30:00
72203;els monjos;BARCELONA;21:00 - 21:30;0;28;3;1900-01-01 21:00:00
72203;els monjos;BARCELONA;21:30 - 22:00;10;19;3;1900-01-01 21:30:00
72203;els monjos;BARCELONA;22:00 - 22:30;0;10;3;1900-01-01 22:00:00
72203;els monjos;BARCELONA;22:30 - 23:00;1;6;3;1900-01-01 22:30:00
72203;els monjos;BARCELONA;23:30 - 00:00;0;7;3;1900-01-01 23:30:00
72204;vilafranca del penedes;BARCELONA;00:00 - 00:30;3;17;4;1900-01-01 00:00:00
72204;vilafranca del penedes;BARCELONA;05:30 - 06:00;48;2;4;1900-01-01 05:30:00
72204;vilafranca del penedes;BARCELONA;06:00 - 06:30;219;24;4;1900-01-01 06:00:00
72204;vilafranca del penedes;BARCELONA;06:30 - 07:00;142;10;4;1900-01-01 06:30:00
72204;vilafranca del penedes;BARCELONA;07:00 - 07:30;215;43;4;1900-01-01 07:00:00
72204;vilafranca del penedes;BARCELONA;07:30 - 08:00;306;195;4;1900-01-01 07:30:00
72204;vilafranca del penedes;BARCELONA;08:00 - 08:30;192;45;4;1900-01-01 08:00:00
72204;vilafranca del penedes;BARCELONA;08:30 - 09:00;123;136;4;1900-01-01 08:30:00
72204;vilafranca del penedes;BARCELONA;09:00 - 09:30;116;57;4;1900-01-01 09:00:00
72204;vilafranca del penedes;BARCELONA;09:30 - 10:00;48;28;4;1900-01-01 09:30:00
72204;vilafranca del penedes;BARCELONA;10:00 - 10:30;80;112;4;1900-01-01 10:00:00
72204;vilafranca del penedes;BARCELONA;10:30 - 11:00;50;50;4;1900-01-01 10:30:00
72204;vilafranca del penedes;BARCELONA;11:00 - 11:30;72;30;4;1900-01-01 11:00:00
72204;vilafranca del penedes;BARCELONA;11:30 - 12:00;60;91;4;1900-01-01 11:30:00
72204;vilafranca del penedes;BARCELONA;12:00 - 12:30;68;28;4;1900-01-01 12:00:00
72204;vilafranca del penedes;BARCELONA;12:30 - 13:00;80;105;4;1900-01-01 12:30:00
72204;vilafranca del penedes;BARCELONA;13:00 - 13:30;124;44;4;1900-01-01 13:00:00
72204;vilafranca del penedes;BARCELONA;13:30 - 14:00;108;91;4;1900-01-01 13:30:00
72204;vilafranca del penedes;BARCELONA;14:00 - 14:30;138;90;4;1900-01-01 14:00:00
72204;vilafranca del penedes;BARCELONA;14:30 - 15:00;96;191;4;1900-01-01 14:30:00
72204;vilafranca del penedes;BARCELONA;15:00 - 15:30;139;156;4;1900-01-01 15:00:00
72204;vilafranca del penedes;BARCELONA;15:30 - 16:00;67;230;4;1900-01-01 15:30:00
72204;vilafranca del penedes;BARCELONA;16:00 - 16:30;82;114;4;1900-01-01 16:00:00
72204;vilafranca del penedes;BARCELONA;16:30 - 17:00;43;168;4;1900-01-01 16:30:00
72204;vilafranca del penedes;BARCELONA;17:00 - 17:30;106;69;4;1900-01-01 17:00:00
72204;vilafranca del penedes;BARCELONA;17:30 - 18:00;83;151;4;1900-01-01 17:30:00
72204;vilafranca del penedes;BARCELONA;18:00 - 18:30;96;126;4;1900-01-01 18:00:00
72204;vilafranca del penedes;BARCELONA;18:30 - 19:00;64;180;4;1900-01-01 18:30:00
72204;vilafranca del penedes;BARCELONA;19:00 - 19:30;73;139;4;1900-01-01 19:00:00
72204;vilafranca del penedes;BARCELONA;19:30 - 20:00;62;178;4;1900-01-01 19:30:00
72204;vilafranca del penedes;BARCELONA;20:00 - 20:30;101;118;4;1900-01-01 20:00:00
72204;vilafranca del penedes;BARCELONA;20:30 - 21:00;45;108;4;1900-01-01 20:30:00
72204;vilafranca del penedes;BARCELONA;21:00 - 21:30;55;103;4;1900-01-01 21:00:00
72204;vilafranca del penedes;BARCELONA;21:30 - 22:00;65;86;4;1900-01-01 21:30:00
72204;vilafranca del penedes;BARCELONA;22:00 - 22:30;33;66;4;1900-01-01 22:00:00
72204;vilafranca del penedes;BARCELONA;22:30 - 23:00;9;74;4;1900-01-01 22:30:00
72204;vilafranca del penedes;BARCELONA;23:30 - 00:00;4;40;4;1900-01-01 23:30:00
72205;la granada;BARCELONA;00:00 - 00:30;1;2;5;1900-01-01 00:00:00
72205;la granada;BARCELONA;05:30 - 06:00;2;3;5;1900-01-01 05:30:00
72205;la granada;BARCELONA;06:00 - 06:30;5;3;5;1900-01-01 06:00:00
72205;la granada;BARCELONA;06:30 - 07:00;31;4;5;1900-01-01 06:30:00
72205;la granada;BARCELONA;07:00 - 07:30;14;0;5;1900-01-01 07:00:00
72205;la granada;BARCELONA;07:30 - 08:00;45;23;5;1900-01-01 07:30:00
72205;la granada;BARCELONA;08:00 - 08:30;5;7;5;1900-01-01 08:00:00
72205;la granada;BARCELONA;08:30 - 09:00;20;9;5;1900-01-01 08:30:00
72205;la granada;BARCELONA;09:00 - 09:30;6;4;5;1900-01-01 09:00:00
72205;la granada;BARCELONA;09:30 - 10:00;6;1;5;1900-01-01 09:30:00
72205;la granada;BARCELONA;10:00 - 10:30;12;0;5;1900-01-01 10:00:00
72205;la granada;BARCELONA;10:30 - 11:00;2;3;5;1900-01-01 10:30:00
72205;la granada;BARCELONA;11:00 - 11:30;8;0;5;1900-01-01 11:00:00
72205;la granada;BARCELONA;11:30 - 12:00;2;5;5;1900-01-01 11:30:00
72205;la granada;BARCELONA;12:00 - 12:30;6;4;5;1900-01-01 12:00:00
72205;la granada;BARCELONA;12:30 - 13:00;6;6;5;1900-01-01 12:30:00
72205;la granada;BARCELONA;13:00 - 13:30;5;5;5;1900-01-01 13:00:00
72205;la granada;BARCELONA;13:30 - 14:00;11;21;5;1900-01-01 13:30:00
72205;la granada;BARCELONA;14:00 - 14:30;6;7;5;1900-01-01 14:00:00
72205;la granada;BARCELONA;14:30 - 15:00;8;10;5;1900-01-01 14:30:00
72205;la granada;BARCELONA;15:00 - 15:30;6;8;5;1900-01-01 15:00:00
72205;la granada;BARCELONA;15:30 - 16:00;3;12;5;1900-01-01 15:30:00
72205;la granada;BARCELONA;16:00 - 16:30;5;13;5;1900-01-01 16:00:00
72205;la granada;BARCELONA;16:30 - 17:00;13;6;5;1900-01-01 16:30:00
72205;la granada;BARCELONA;17:00 - 17:30;8;1;5;1900-01-01 17:00:00
72205;la granada;BARCELONA;17:30 - 18:00;20;11;5;1900-01-01 17:30:00
72205;la granada;BARCELONA;18:00 - 18:30;8;15;5;1900-01-01 18:00:00
72205;la granada;BARCELONA;18:30 - 19:00;2;9;5;1900-01-01 18:30:00
72205;la granada;BARCELONA;19:00 - 19:30;3;25;5;1900-01-01 19:00:00
72205;la granada;BARCELONA;19:30 - 20:00;1;17;5;1900-01-01 19:30:00
72205;la granada;BARCELONA;20:00 - 20:30;3;7;5;1900-01-01 20:00:00
72205;la granada;BARCELONA;20:30 - 21:00;3;9;5;1900-01-01 20:30:00
72205;la granada;BARCELONA;21:00 - 21:30;0;5;5;1900-01-01 21:00:00
72205;la granada;BARCELONA;21:30 - 22:00;1;9;5;1900-01-01 21:30:00
72205;la granada;BARCELONA;22:00 - 22:30;0;2;5;1900-01-01 22:00:00
72205;la granada;BARCELONA;22:30 - 23:00;0;5;5;1900-01-01 22:30:00
72205;la granada;BARCELONA;23:30 - 00:00;0;4;5;1900-01-01 23:30:00
72206;lavern-subirats;BARCELONA;00:00 - 00:30;0;0;6;1900-01-01 00:00:00
72206;lavern-subirats;BARCELONA;05:30 - 06:00;1;0;6;1900-01-01 05:30:00
72206;lavern-subirats;BARCELONA;06:00 - 06:30;5;1;6;1900-01-01 06:00:00
72206;lavern-subirats;BARCELONA;06:30 - 07:00;22;0;6;1900-01-01 06:30:00
72206;lavern-subirats;BARCELONA;07:00 - 07:30;6;0;6;1900-01-01 07:00:00
72206;lavern-subirats;BARCELONA;07:30 - 08:00;27;1;6;1900-01-01 07:30:00
72206;lavern-subirats;BARCELONA;08:00 - 08:30;1;1;6;1900-01-01 08:00:00
72206;lavern-subirats;BARCELONA;08:30 - 09:00;6;2;6;1900-01-01 08:30:00
72206;lavern-subirats;BARCELONA;09:00 - 09:30;0;0;6;1900-01-01 09:00:00
72206;lavern-subirats;BARCELONA;09:30 - 10:00;5;1;6;1900-01-01 09:30:00
72206;lavern-subirats;BARCELONA;10:00 - 10:30;2;0;6;1900-01-01 10:00:00
72206;lavern-subirats;BARCELONA;10:30 - 11:00;0;0;6;1900-01-01 10:30:00
72206;lavern-subirats;BARCELONA;11:00 - 11:30;0;0;6;1900-01-01 11:00:00
72206;lavern-subirats;BARCELONA;11:30 - 12:00;1;3;6;1900-01-01 11:30:00
72206;lavern-subirats;BARCELONA;12:00 - 12:30;3;1;6;1900-01-01 12:00:00
72206;lavern-subirats;BARCELONA;12:30 - 13:00;2;1;6;1900-01-01 12:30:00
72206;lavern-subirats;BARCELONA;13:00 - 13:30;1;3;6;1900-01-01 13:00:00
72206;lavern-subirats;BARCELONA;13:30 - 14:00;8;2;6;1900-01-01 13:30:00
72206;lavern-subirats;BARCELONA;14:00 - 14:30;2;3;6;1900-01-01 14:00:00
72206;lavern-subirats;BARCELONA;14:30 - 15:00;1;3;6;1900-01-01 14:30:00
72206;lavern-subirats;BARCELONA;15:00 - 15:30;1;12;6;1900-01-01 15:00:00
72206;lavern-subirats;BARCELONA;15:30 - 16:00;2;1;6;1900-01-01 15:30:00
72206;lavern-subirats;BARCELONA;16:00 - 16:30;1;8;6;1900-01-01 16:00:00
72206;lavern-subirats;BARCELONA;16:30 - 17:00;2;5;6;1900-01-01 16:30:00
72206;lavern-subirats;BARCELONA;17:00 - 17:30;6;3;6;1900-01-01 17:00:00
72206;lavern-subirats;BARCELONA;17:30 - 18:00;1;0;6;1900-01-01 17:30:00
72206;lavern-subirats;BARCELONA;18:00 - 18:30;5;5;6;1900-01-01 18:00:00
72206;lavern-subirats;BARCELONA;18:30 - 19:00;2;0;6;1900-01-01 18:30:00
72206;lavern-subirats;BARCELONA;19:00 - 19:30;4;12;6;1900-01-01 19:00:00
72206;lavern-subirats;BARCELONA;19:30 - 20:00;0;2;6;1900-01-01 19:30:00
72206;lavern-subirats;BARCELONA;20:00 - 20:30;1;9;6;1900-01-01 20:00:00
72206;lavern-subirats;BARCELONA;20:30 - 21:00;0;9;6;1900-01-01 20:30:00
72206;lavern-subirats;BARCELONA;21:00 - 21:30;0;5;6;1900-01-01 21:00:00
72206;lavern-subirats;BARCELONA;21:30 - 22:00;0;5;6;1900-01-01 21:30:00
72206;lavern-subirats;BARCELONA;22:00 - 22:30;5;2;6;1900-01-01 22:00:00
72206;lavern-subirats;BARCELONA;22:30 - 23:00;0;3;6;1900-01-01 22:30:00
72206;lavern-subirats;BARCELONA;23:30 - 00:00;0;0;6;1900-01-01 23:30:00
72207;sant sadurni d'anoia;BARCELONA;00:00 - 00:30;1;2;7;1900-01-01 00:00:00
72207;sant sadurni d'anoia;BARCELONA;05:30 - 06:00;33;5;7;1900-01-01 05:30:00
72207;sant sadurni d'anoia;BARCELONA;06:00 - 06:30;44;5;7;1900-01-01 06:00:00
72207;sant sadurni d'anoia;BARCELONA;06:30 - 07:00;40;3;7;1900-01-01 06:30:00
72207;sant sadurni d'anoia;BARCELONA;07:00 - 07:30;98;16;7;1900-01-01 07:00:00
72207;sant sadurni d'anoia;BARCELONA;07:30 - 08:00;168;54;7;1900-01-01 07:30:00
72207;sant sadurni d'anoia;BARCELONA;08:00 - 08:30;60;43;7;1900-01-01 08:00:00
72207;sant sadurni d'anoia;BARCELONA;08:30 - 09:00;69;37;7;1900-01-01 08:30:00
72207;sant sadurni d'anoia;BARCELONA;09:00 - 09:30;45;7;7;1900-01-01 09:00:00
72207;sant sadurni d'anoia;BARCELONA;09:30 - 10:00;73;15;7;1900-01-01 09:30:00
72207;sant sadurni d'anoia;BARCELONA;10:00 - 10:30;22;16;7;1900-01-01 10:00:00
72207;sant sadurni d'anoia;BARCELONA;10:30 - 11:00;3;8;7;1900-01-01 10:30:00
72207;sant sadurni d'anoia;BARCELONA;11:00 - 11:30;34;20;7;1900-01-01 11:00:00
72207;sant sadurni d'anoia;BARCELONA;11:30 - 12:00;21;7;7;1900-01-01 11:30:00
72207;sant sadurni d'anoia;BARCELONA;12:00 - 12:30;14;11;7;1900-01-01 12:00:00
72207;sant sadurni d'anoia;BARCELONA;12:30 - 13:00;18;24;7;1900-01-01 12:30:00
72207;sant sadurni d'anoia;BARCELONA;13:00 - 13:30;27;22;7;1900-01-01 13:00:00
72207;sant sadurni d'anoia;BARCELONA;13:30 - 14:00;3;31;7;1900-01-01 13:30:00
72207;sant sadurni d'anoia;BARCELONA;14:00 - 14:30;72;133;7;1900-01-01 14:00:00
72207;sant sadurni d'anoia;BARCELONA;14:30 - 15:00;34;15;7;1900-01-01 14:30:00
72207;sant sadurni d'anoia;BARCELONA;15:00 - 15:30;56;66;7;1900-01-01 15:00:00
72207;sant sadurni d'anoia;BARCELONA;15:30 - 16:00;7;52;7;1900-01-01 15:30:00
72207;sant sadurni d'anoia;BARCELONA;16:00 - 16:30;40;52;7;1900-01-01 16:00:00
72207;sant sadurni d'anoia;BARCELONA;16:30 - 17:00;4;34;7;1900-01-01 16:30:00
72207;sant sadurni d'anoia;BARCELONA;17:00 - 17:30;50;29;7;1900-01-01 17:00:00
72207;sant sadurni d'anoia;BARCELONA;17:30 - 18:00;5;30;7;1900-01-01 17:30:00
72207;sant sadurni d'anoia;BARCELONA;18:00 - 18:30;25;40;7;1900-01-01 18:00:00
72207;sant sadurni d'anoia;BARCELONA;18:30 - 19:00;37;33;7;1900-01-01 18:30:00
72207;sant sadurni d'anoia;BARCELONA;19:00 - 19:30;34;62;7;1900-01-01 19:00:00
72207;sant sadurni d'anoia;BARCELONA;19:30 - 20:00;1;53;7;1900-01-01 19:30:00
72207;sant sadurni d'anoia;BARCELONA;20:00 - 20:30;15;134;7;1900-01-01 20:00:00
72207;sant sadurni d'anoia;BARCELONA;20:30 - 21:00;17;57;7;1900-01-01 20:30:00
72207;sant sadurni d'anoia;BARCELONA;21:00 - 21:30;18;28;7;1900-01-01 21:00:00
72207;sant sadurni d'anoia;BARCELONA;21:30 - 22:00;9;61;7;1900-01-01 21:30:00
72207;sant sadurni d'anoia;BARCELONA;22:00 - 22:30;8;30;7;1900-01-01 22:00:00
72207;sant sadurni d'anoia;BARCELONA;22:30 - 23:00;8;24;7;1900-01-01 22:30:00
72207;sant sadurni d'anoia;BARCELONA;23:00 - 23:30;0;15;7;1900-01-01 23:00:00
72208;gelida;BARCELONA;00:00 - 00:30;0;4;8;1900-01-01 00:00:00
72208;gelida;BARCELONA;06:00 - 06:30;32;18;8;1900-01-01 06:00:00
